raw_metric_name,mapped_metric_name,mapped_score_bucket,mapping_status,default_include,notes
1VS1,Possession Regain,aset,needs_coach_review,true,"Legacy CSV counted WY:1VS1 as ASET. Mapped to Possession Regain for traceability; coach should confirm whether all 1VS1 events deserve credit."
Defensive duel,Possession Regain,aset,needs_coach_review,true,"Legacy CSV counted WY:Defensive duel as ASET. Confirm outcome/location filters."
Loose ball duel,Possession Regain,aset,needs_coach_review,true,"Legacy CSV counted WY:Loose ball duel as ASET. Confirm whether every won loose-ball duel is a regain."
Pressing duel,Successful Counter Press,aset,needs_coach_review,true,"Wyscout pressing duel is not the same as coach-confirmed counter press under 5 seconds; map only as a review bridge."
Vol_Interception,Possession Regain,aset,reviewed_candidate,true,"Strongest Wyscout proxy for Possession Regain."
Clearances,Clearance from Danger,aset,needs_coach_review,true,"Wyscout clearance is broader than coach Clearance from Danger; confirm danger filter."
Tackles,Possession Regain,aset,needs_coach_review,true,"Only successful tackle/regain situations should count."
Anticipated,Possession Regain,aset,needs_coach_review,true,"Notebook label used as ASET; confirm exact Wyscout semantics."
Anticipation,Possession Regain,aset,needs_coach_review,true,"Notebook label used as ASET; confirm exact Wyscout semantics."
Goal,Goal (scorer),peak,reviewed_candidate,true,"Direct scorer mapping."
Assists,Assist,peak,reviewed_candidate,true,"Direct assist mapping."
Key passes,Advance,peak,needs_coach_review,true,"Potential PEAK/Advance proxy; coach should confirm."
Smart pass,Advance,peak,needs_coach_review,true,"Potential PEAK/Advance proxy; coach should confirm."
Smart passes,Advance,peak,needs_coach_review,true,"Potential PEAK/Advance proxy; coach should confirm."
Opportunity,Punish Action after Regain,peak,needs_coach_review,true,"Potential PEAK/Punish proxy, but Wyscout opportunity may not follow regain."
Shots,Shots on Target (FWD),positional,needs_coach_review,true,"Raw Shots is broader than Shots on Target; only valid if upstream filter guarantees on-target shots."
Cross,Crosses Attempted (WB),positional,needs_coach_review,true,"Use with WB position and threshold logic."
Aerial duels,Aerial Duels Won (CB),positional,needs_coach_review,true,"Use with CB position and won-outcome filter."
Saves,,set_piece,unmapped,false,"Generic Wyscout saves need a GK/save metric or set-piece/penalty subtype before scoring."
Free kick goal,,set_piece,unmapped,false,"Wyscout emits this label for free-kick event context, not a verified scored goal. Preserve as evidence and exclude from scoring unless corroborated by an actual team goal."
Free kick shot,,peak,unmapped,false,"No confirmed offensive free-kick shot metric in current metric_weight."
