season,slug,player_key,issue_type,disposition,note,reviewed_by,reviewed_date
2025,2025-09-27_william_mary,J. Watson,needs_source_review,source_missing,player_events.xml and team_events.xml missing for both W&M matches. Legacy PEAK 19 (free kick goal + goal) cannot be verified from event data until XMLs land. Flag clears when supplemental XML is registered.,anissa.williams,2026-07-14
2025,2025-09-27_william_mary,E. White,needs_source_review,source_missing,player_events.xml and team_events.xml missing. Legacy PEAK 3 (goal) unverifiable from event data. Flag clears when supplemental XML is registered.,anissa.williams,2026-07-14
2025,2025-10-25_william_mary,R. Watson,needs_source_review,source_missing,player_events.xml and team_events.xml missing for both W&M matches. Legacy PEAK 3 (goal) unverifiable from event data. Flag clears when supplemental XML is registered.,anissa.williams,2026-07-14
2025,2025-11-02_uncw,P. Dashin,needs_source_review,known_gap,Supplemental XML present (local+storage) but no normalized event-derived PEAK. Legacy PEAK 1 (shot). Gap is label mapping — shot label not yet scoring in wyscout_peak_normalization.csv. Will resolve when normalization tightening is complete.,anissa.williams,2026-07-14
2025,2025-10-25_william_mary,B. Alibaruho,legacy_only_player,source_missing,Player appears in legacy CSV only. No event data available due to missing supplemental XML. Legacy PEAK 16 (free kick goal + goal). Not in current roster — calibration season artifact.,anissa.williams,2026-07-14
2025,2025-10-25_william_mary,A. Duran,legacy_only_player,source_missing,Player appears in legacy CSV only. Missing supplemental XML. Legacy PEAK 4 (shots). Calibration season artifact.,anissa.williams,2026-07-14
2025,2025-11-02_uncw,E. Goetzke,legacy_only_player,known_gap,Player in legacy CSV under former name (Goetzke/Emanuele alias). alias registered in athlete_alias table. Event-derived PEAK 0 vs legacy 3 (goal). Alias match confirmed; gap is a label mapping issue pending wyscout_peak_normalization tightening.,anissa.williams,2026-07-14
2025,2025-10-25_william_mary,S. Bendvold,candidate_below_legacy,source_missing,Delta -6.2 vs legacy. Both W&M supplemental XMLs missing. Candidate PEAK from sportscode only; label mapping incomplete without player_events.xml. Flag clears when XMLs land.,anissa.williams,2026-07-14
2025,2025-09-27_william_mary,S. Bendvold,candidate_below_legacy,source_missing,Delta -5.8 vs legacy. Both W&M supplemental XMLs missing. Same root cause as 10-25.,anissa.williams,2026-07-14
2025,2025-09-27_william_mary,P. Dashin,candidate_below_legacy,source_missing,Delta -4.2 vs legacy. W&M supplemental XMLs missing. Candidate PEAK partially scoring from sportscode events only.,anissa.williams,2026-07-14
2025,2025-11-02_uncw,S. Bendvold,candidate_below_legacy,known_gap,Delta -3.6 vs legacy. Supplemental XML present. Gap is needs_context_rule status in PEAK normalization — Punish context rule not yet implemented. Will resolve when wyscout_peak_normalization.csv tightening is complete.,anissa.williams,2026-07-14
2025,2025-11-02_uncw,L. Gill,candidate_below_legacy,known_gap,Delta -2.8 vs legacy. Supplemental XML present. Same needs_context_rule gap as Bendvold UNCW.,anissa.williams,2026-07-14
2025,2025-09-27_william_mary,B. Bagshaw,candidate_below_legacy,source_missing,Delta -2.8 vs legacy. W&M supplemental XMLs missing.,anissa.williams,2026-07-14
2025,2025-10-25_william_mary,J. Neumann,legacy_only_player,source_missing,Player in legacy CSV only. Missing supplemental XML for W&M 10-25. Legacy PEAK 2 (shots). Calibration season artifact.,anissa.williams,2026-07-14
2025,2025-09-27_william_mary,M. Lenert,candidate_below_legacy,source_missing,Delta -1.8 vs legacy. W&M supplemental XMLs missing.,anissa.williams,2026-07-14
2025,2025-10-25_william_mary,L. Gill,candidate_below_legacy,source_missing,Delta -1.8 vs legacy. W&M supplemental XMLs missing.,anissa.williams,2026-07-14
2025,2025-09-27_william_mary,L. Gill,candidate_below_legacy,source_missing,Delta -1.2 vs legacy. W&M supplemental XMLs missing.,anissa.williams,2026-07-14
2025,2025-09-27_william_mary,A. Duran,legacy_only_player,source_missing,Player in legacy CSV only. W&M supplemental XMLs missing. Legacy PEAK 1 (shots). Calibration season artifact.,anissa.williams,2026-07-14
